2.010119817 1.358894000 0.982092000 6,598,329,535 11,667,916,023 1.77 198 46,632
2.052547417 1.437261000 1.032399000 6,844,464,511 11,684,322,497 1.71 189 48,590
2.065276669 1.501636000 0.983692000 6,922,760,851 11,712,932,374 1.69 191 48,542
1.971335995 1.316459000 1.025707000 6,501,559,368 11,660,455,484 1.79 186 45,765
1.977509123 1.340160000 1.016121000 6,536,228,510 11,664,251,617 1.78 194 46,189
2.049064896 1.486838000 0.996583000 6,905,242,637 11,690,608,406 1.69 192 49,262
2.066683475 1.430811000 1.106000000 6,862,294,506 11,689,865,416 1.70 228 49,037
1.972147950 1.376018000 0.960012000 6,515,150,513 11,663,364,781 1.79 197 45,981
1.989597710 1.320164000 0.978048000 6,415,567,356 11,613,377,419 1.81 204 44,474
2.032238802 1.446146000 0.996234000 6,719,430,274 11,676,033,368 1.74 194 47,709
