3.045954079 2.493098000 0.953360000 10,373,804,599 15,531,990,972 1.50 186 50,372
3.056307689 2.546024000 0.888706000 10,297,626,186 15,542,833,682 1.51 180 50,252
3.119123900 2.651012000 0.861080000 10,613,192,228 15,482,208,990 1.46 198 49,984
3.080124366 2.435314000 1.018041000 10,328,602,663 15,593,584,737 1.51 233 50,200
3.037686404 2.471940000 0.956880000 10,282,385,339 15,450,815,418 1.50 180 50,326
3.026160646 2.543127000 0.862347000 10,250,106,766 15,485,268,959 1.51 608 50,498
3.000494381 2.394815000 1.008554000 10,264,919,765 15,425,589,911 1.50 188 50,471
3.017244279 2.534715000 0.864926000 10,325,237,385 15,475,729,056 1.50 186 50,744
3.144252140 2.440022000 1.063496000 10,558,815,395 15,547,066,014 1.47 191 50,714
3.101058772 2.515190000 0.971054000 10,627,498,758 15,565,724,961 1.46 210 50,416
