1.925010341 1.234193000 0.989758000 6,582,629,989 11,537,627,001 1.75 209 44,178
1.971943293 1.318720000 0.952187000 6,782,470,433 11,660,320,783 1.72 226 45,921
1.964938219 1.319163000 0.908668000 6,674,840,289 11,608,579,260 1.74 192 46,613
1.897299418 1.228501000 0.923357000 6,345,498,862 11,612,074,538 1.83 200 41,845
1.922678437 1.204277000 1.008232000 6,551,652,604 11,640,305,548 1.78 199 43,304
1.941899722 1.251022000 0.997599000 6,574,547,269 11,654,535,653 1.77 207 45,081
1.921992920 1.259235000 0.953364000 6,418,575,907 11,646,530,303 1.81 197 44,189
2.079451166 1.401954000 1.022508000 7,059,726,509 11,685,603,347 1.66 197 48,832
1.979619450 1.290300000 1.002679000 6,732,336,856 11,670,466,230 1.73 213 46,918
2.079997267 1.432310000 0.946916000 6,907,656,591 11,613,521,864 1.68 209 50,324
