1.864272049 1.861358000 0.267047000 3,553,202,190 7,610,304,397 2.14 2,060 44,794
1.816660198 1.773147000 0.284970000 3,488,833,217 7,601,454,943 2.18 2,069 44,415
1.920795599 1.913304000 0.257251000 3,567,890,315 7,596,468,252 2.13 2,015 44,634
1.842372077 1.893788000 0.184564000 3,493,325,446 7,600,228,702 2.18 2,048 44,400
1.855273160 1.917708000 0.208185000 3,530,981,192 7,608,812,065 2.15 2,021 44,603
1.842625807 1.882807000 0.213595000 3,477,401,895 7,590,002,442 2.18 2,031 44,156
1.871608545 1.885766000 0.219739000 3,408,475,088 7,531,029,519 2.21 2,047 43,926
1.852782548 1.898687000 0.221513000 3,514,050,529 7,603,855,480 2.16 2,058 44,527
1.946679030 1.941716000 0.259694000 3,644,820,081 7,594,049,925 2.08 2,062 44,428
1.864903992 1.834792000 0.271230000 3,495,563,072 7,592,733,215 2.17 2,002 44,485
