3.376657579 3.243308000 0.982698000 12,785,303,552 20,587,418,210 1.61 476 58,188
3.932566544 3.393275000 0.879293000 12,958,257,170 19,934,920,390 1.54 233 54,778
3.952993945 4.133527000 0.952664000 15,450,999,625 24,285,369,407 1.57 637 60,053
3.941497804 4.019341000 0.995872000 15,148,929,059 23,837,855,845 1.57 541 59,460
3.940587828 3.280933000 1.016968000 12,928,274,725 19,627,548,811 1.52 239 54,798
3.954047800 4.052535000 1.047104000 15,254,556,417 24,053,317,569 1.58 626 59,506
3.955485116 4.044941000 1.031220000 15,396,065,151 23,942,134,225 1.56 533 59,669
4.115986942 3.518952000 0.928557000 13,302,079,515 19,928,109,013 1.50 250 54,291
4.177541663 4.161795000 1.099417000 15,622,498,975 24,143,089,965 1.55 672 59,174
3.900311827 4.022733000 0.942514000 15,059,113,721 23,940,003,529 1.59 537 59,761
