3.549322451 3.349029000 1.278865000 13,507,767,889 21,378,300,637 1.58 3,530 60,528
4.089499297 3.457392000 1.053985000 13,265,910,455 20,155,322,990 1.52 1,242 56,281
4.064044208 4.126513000 1.367484000 16,258,482,098 24,789,416,545 1.52 4,345 66,808
4.143855959 4.207060000 1.379756000 16,004,853,982 24,648,856,742 1.54 4,240 62,766
4.089939817 3.434986000 1.108710000 13,315,791,067 20,032,099,353 1.50 1,237 56,283
3.997276346 4.146646000 1.352778000 16,084,827,605 24,888,686,000 1.55 4,317 67,616
4.176460421 4.363688000 1.373160000 16,010,674,406 24,724,832,256 1.54 4,259 62,660
4.026253672 3.364824000 1.086850000 13,017,143,088 20,020,557,997 1.54 1,227 55,517
4.070958166 4.206536000 1.357984000 16,083,488,640 24,816,886,752 1.54 4,349 67,441
4.265991932 4.320979000 1.469693000 16,053,081,662 24,752,120,202 1.54 4,249 62,673
