23.018760628 6.302268000 7.743535000 31,229,427,603 37,085,249,042 1.19 934,372 34,096
22.913841920 6.059612000 7.908526000 31,017,787,998 34,849,263,494 1.12 934,326 9,748
22.447556268 5.752024000 7.854308000 30,273,564,656 34,882,784,291 1.15 934,320 14,272
22.684472555 6.061718000 7.731783000 30,460,838,770 34,882,864,893 1.15 934,318 14,262
22.642412628 6.306404000 7.802153000 30,665,892,096 34,877,279,512 1.14 934,341 14,268
22.895289229 6.333335000 8.026496000 30,935,917,845 34,880,365,668 1.13 934,321 14,255
23.220813924 6.194166000 8.380607000 30,840,239,548 34,875,274,302 1.13 934,341 14,256
22.699964648 6.269294000 7.892835000 30,413,502,767 34,881,487,904 1.15 934,306 14,249
22.920436716 6.281875000 8.059075000 30,516,080,320 34,895,804,953 1.14 934,321 14,242
23.197187058 6.302622000 8.141644000 30,662,787,462 34,894,520,970 1.14 934,335 14,247
