3.487186453 3.815010000 0.156451000 7,341,301,230 11,530,661,107 1.57 1,902 36,767
3.418231245 3.765396000 0.116414000 7,320,348,863 11,465,123,277 1.57 1,891 36,255
3.395055878 3.691568000 0.144609000 7,252,637,869 11,394,212,460 1.57 1,873 35,986
3.520974988 3.764660000 0.152838000 7,309,778,343 11,523,186,038 1.58 1,895 35,463
3.459811132 3.781719000 0.117168000 7,232,690,463 11,432,405,949 1.58 1,886 36,238
3.447820420 3.810593000 0.139217000 7,356,969,926 11,367,639,248 1.55 1,861 36,749
3.374206980 3.712527000 0.153177000 7,234,298,310 11,463,949,130 1.58 1,890 37,300
3.400378343 3.731745000 0.152479000 7,189,917,573 11,380,116,895 1.58 1,889 37,032
3.524370617 3.831684000 0.153590000 7,420,289,188 11,552,974,381 1.56 1,892 36,246
3.234796232 3.564248000 0.119873000 6,899,509,135 11,435,932,574 1.66 1,879 36,777
