1.850714079 1.821216000 0.265264000 3,481,386,629 7,591,015,728 2.18 2,027 44,308
1.835928379 1.843673000 0.228978000 3,516,144,745 7,602,301,334 2.16 2,025 44,805
1.799404156 1.925449000 0.188927000 3,452,677,509 7,562,251,730 2.19 2,039 46,508
1.812742486 1.910369000 0.157232000 3,422,665,828 7,533,203,677 2.20 2,031 44,423
1.811860836 1.893827000 0.264898000 3,504,060,878 7,570,537,060 2.16 2,029 47,312
1.815361132 1.903069000 0.137052000 3,368,608,470 7,525,854,191 2.23 2,018 43,979
1.805183753 1.960748000 0.177151000 3,513,148,156 7,567,116,698 2.15 2,011 46,239
1.761327968 1.850757000 0.180659000 3,332,550,584 7,515,500,428 2.26 1,998 45,966
1.821176176 1.906514000 0.154472000 3,399,763,410 7,528,743,634 2.21 2,044 45,151
1.823850621 1.865627000 0.225298000 3,362,061,242 7,529,591,892 2.24 2,026 45,246
