4.072998242 5.038730000 0.264985000 9,830,702,418 16,549,857,932 1.68 3,949 55,858
4.504596997 4.741558000 0.190472000 10,009,574,816 15,840,245,073 1.58 2,869 44,296
4.606445543 6.005023000 0.277526000 12,152,457,763 19,901,834,981 1.64 4,003 49,349
4.666002229 6.093778000 0.232372000 12,133,802,172 19,931,948,039 1.64 3,927 48,319
4.476069329 4.697335000 0.196558000 9,854,730,331 15,738,128,937 1.60 2,845 43,773
4.563411569 5.989480000 0.306235000 12,359,702,003 19,812,329,362 1.60 4,018 49,763
4.417101778 5.801758000 0.291887000 11,871,145,455 19,701,382,281 1.66 3,867 47,467
4.638877501 4.799284000 0.193422000 10,082,656,473 15,874,198,764 1.57 2,845 42,515
4.639142921 6.000906000 0.311010000 12,208,057,077 19,959,535,535 1.63 3,946 49,830
4.577989878 6.000995000 0.261437000 12,216,231,781 19,667,799,204 1.61 3,890 47,964
