34.128657630 12.624564000 13.059166000 42,533,308,576 37,635,368,561 0.88 934,643 36,367
33.822826400 12.509939000 12.883496000 41,719,594,840 35,520,841,595 0.85 934,594 23,236
33.685789206 12.690400000 12.623211000 41,749,888,711 35,423,341,956 0.85 934,623 16,536
33.600314426 12.026389000 13.486339000 42,006,109,973 35,437,323,586 0.84 934,602 16,518
33.513110172 12.381545000 12.718114000 41,515,627,189 35,479,755,200 0.85 934,610 16,525
33.680175373 12.112393000 13.200534000 41,874,017,457 35,438,730,422 0.85 934,599 16,510
33.755955757 12.295197000 13.381062000 42,669,591,981 35,443,329,670 0.83 934,620 16,501
33.908729085 12.271513000 13.482991000 42,650,081,037 35,434,676,477 0.83 934,614 16,509
33.323168081 11.710602000 13.252370000 41,295,537,213 35,526,186,258 0.86 934,617 16,510
33.411654200 11.816499000 13.432686000 41,842,847,246 35,429,649,181 0.85 934,591 16,527
