12.815510848 9.713542000 4.058370000 36,046,807,971 43,144,456,970 1.20 41,872 104,176
14.586321484 11.334751000 4.776759000 46,170,237,571 53,049,628,690 1.15 25,038 73,681
13.768043083 9.815355000 4.320998000 40,356,442,252 45,480,170,805 1.13 16,991 71,031
12.864003126 10.036990000 3.991667000 38,385,052,227 43,397,971,778 1.13 30,633 94,787
13.717603482 10.890336000 4.327232000 41,101,806,685 47,930,367,669 1.17 28,231 73,220
14.313839485 11.255251000 4.592752000 45,047,385,792 52,886,081,840 1.17 19,638 73,870
13.842179338 9.800438000 4.420589000 40,724,238,441 45,355,142,598 1.11 20,763 70,984
12.418650622 9.677147000 3.885338000 37,277,483,924 43,529,720,677 1.17 31,080 96,120
14.128291745 11.183922000 4.477584000 42,413,136,305 47,702,852,178 1.12 28,563 77,321
14.528110999 11.353221000 4.513255000 45,048,367,251 53,127,700,091 1.18 25,874 74,352
