3.902873709 2.860338000 1.169430000 11,610,625,855 15,076,208,714 1.30 325 37,317
4.234007498 3.123854000 1.210999000 12,738,729,721 15,026,481,705 1.18 393 37,313
3.691256275 2.779991000 1.047983000 11,485,773,701 15,054,632,950 1.31 384 37,314
4.110025098 3.039669000 1.213934000 12,907,407,460 15,038,822,864 1.17 405 37,309
3.689676750 2.773833000 1.063217000 11,377,495,601 15,019,700,882 1.32 333 37,317
4.049212519 2.770136000 1.397689000 12,512,389,520 14,928,608,094 1.19 418 37,317
4.321265286 3.057238000 1.404482000 13,303,008,354 15,056,659,119 1.13 326 37,314
3.715365186 2.829023000 0.983081000 11,340,200,408 15,119,516,979 1.33 372 37,326
3.639789500 2.748459000 1.029231000 11,358,020,106 15,061,109,193 1.33 426 37,316
4.320114098 3.222095000 1.275287000 13,770,369,929 15,147,217,563 1.10 338 37,312
