4.006374162 2.931166000 1.211399000 12,240,369,956 15,195,855,820 1.24 1,071 37,313
3.988031361 2.915714000 1.210157000 12,259,983,636 15,329,205,157 1.25 1,078 37,313
3.891204672 2.959519000 1.083956000 12,167,802,327 15,180,195,898 1.25 1,031 37,318
3.752543899 2.725682000 1.193951000 11,574,312,629 15,484,273,629 1.34 1,023 37,318
4.003510321 2.914690000 1.213890000 12,371,948,180 15,245,265,946 1.23 1,107 37,318
4.506777134 3.151068000 1.575462000 13,540,951,894 15,293,007,870 1.13 1,036 37,313
4.425224823 3.079712000 1.582415000 14,040,624,632 15,252,660,601 1.09 1,045 37,321
3.862538536 2.863908000 1.131944000 12,116,896,822 15,313,614,851 1.26 1,079 37,319
3.920989353 2.827377000 1.249360000 12,039,060,049 15,179,498,338 1.26 1,087 37,318
4.200449591 3.079852000 1.322360000 13,409,625,256 15,319,215,905 1.14 1,033 37,324
