2.443465670 1.429410000 1.049840000 6,879,538,523 11,117,009,159 1.62 353 37,597
2.328698431 1.333719000 1.018470000 6,768,824,050 11,113,052,175 1.64 375 37,587
2.327548388 1.330397000 1.014039000 6,978,501,005 11,112,805,682 1.59 340 37,581
2.499257661 1.377858000 1.107948000 7,126,303,521 11,114,507,333 1.56 398 37,592
2.567879082 1.417233000 1.209112000 7,653,942,899 11,113,803,453 1.45 369 37,593
3.018065703 1.670817000 1.410473000 9,033,546,644 11,114,492,094 1.23 417 37,595
2.738351834 1.487075000 1.292105000 8,340,920,692 11,113,973,730 1.33 374 37,598
3.106085244 1.759459000 1.420825000 9,346,557,655 11,112,278,380 1.19 340 37,593
2.363478311 1.393900000 0.977716000 6,785,143,331 11,114,037,154 1.64 391 37,596
2.599632390 1.495763000 1.166324000 7,763,704,810 11,114,616,440 1.43 378 37,593
