1.150746608 1.078318000 0.204243000 3,343,537,055 6,946,403,231 2.08 2,031 28,032
1.107988021 1.050576000 0.143631000 3,323,309,566 6,937,796,787 2.09 2,194 25,494
1.150798216 1.110608000 0.118027000 3,338,646,013 6,936,295,924 2.08 2,130 25,232
1.091916155 1.057030000 0.149439000 3,494,279,991 6,945,574,621 1.99 2,037 28,047
1.178078471 1.082692000 0.174353000 3,445,078,848 6,936,312,868 2.01 2,104 25,226
1.069363239 1.009012000 0.182362000 3,469,094,172 6,945,669,660 2.00 2,051 28,039
1.118259538 1.053921000 0.146515000 3,409,871,988 6,937,102,359 2.03 2,100 25,490
1.110432104 1.099070000 0.130225000 3,571,780,782 6,947,296,662 1.95 2,118 28,069
1.106160124 1.036595000 0.134138000 3,369,993,994 6,937,305,777 2.06 2,113 25,483
1.137597250 1.161486000 0.096801000 3,633,864,355 6,945,561,577 1.91 2,060 27,786
