4.738517871 4.048410000 1.540031000 16,882,828,807 20,292,445,006 1.20 619 44,274
4.583772452 3.773587000 1.063244000 14,648,848,310 19,417,664,542 1.33 448 43,845
4.045272367 4.037444000 1.185037000 15,921,124,313 19,791,691,505 1.24 648 28,533
5.413018050 5.027366000 1.453581000 19,688,758,179 23,476,943,382 1.19 733 45,857
4.731192521 4.012984000 1.000247000 14,756,461,762 19,266,206,485 1.31 386 43,144
5.222174043 5.132370000 1.296056000 19,438,765,669 23,799,542,254 1.22 901 47,458
5.207502822 4.737049000 1.528617000 19,317,339,802 23,499,671,862 1.22 750 46,008
4.814285381 4.014302000 1.079589000 14,965,524,451 19,343,666,364 1.29 446 43,405
4.675996875 4.590789000 1.185739000 17,706,345,483 23,428,999,395 1.32 707 47,209
4.853354427 4.703897000 1.178037000 17,741,385,113 23,295,103,600 1.31 697 45,728
