4.167874411 3.747866000 1.481462000 15,708,254,172 21,141,908,992 1.35 3,939 48,303
5.259477896 4.028029000 1.562072000 16,991,971,340 19,678,104,082 1.16 1,466 42,972
5.579701517 5.158938000 2.047115000 21,498,986,278 24,658,170,016 1.15 4,819 50,994
4.907049783 4.550653000 1.721427000 19,030,933,533 24,308,054,215 1.28 4,652 50,719
4.779668701 3.914887000 1.076987000 15,164,166,450 19,715,279,610 1.30 1,450 42,973
4.858415552 4.580708000 1.783244000 18,922,314,719 24,674,970,914 1.30 4,837 52,226
4.960610248 4.562556000 1.807020000 19,189,634,139 24,461,728,756 1.27 4,544 50,462
4.914798140 3.952628000 1.198581000 15,511,772,154 19,789,764,488 1.28 1,562 43,487
4.949124504 4.729414000 1.650049000 19,191,195,414 24,545,897,152 1.28 4,855 51,883
4.734409319 4.291744000 1.698541000 18,060,347,532 24,267,978,137 1.34 4,653 50,472
