58.716948049 7.867839000 30.483569000 43,349,224,679 36,892,721,372 0.85 938,952 22,664
59.420943907 7.313286000 30.268140000 40,611,581,358 35,009,607,643 0.86 938,118 2,746
60.264887021 7.565135000 30.632839000 42,880,712,161 35,023,121,552 0.82 938,327 2,818
59.546169794 7.744845000 30.130133000 41,290,487,846 35,142,173,310 0.85 938,582 2,822
59.276717840 7.849357000 30.354195000 41,602,862,728 34,814,339,655 0.84 939,336 2,828
58.785896194 7.363346000 29.799515000 40,546,487,677 35,072,999,724 0.87 938,532 2,702
59.271607076 7.436067000 31.509556000 41,972,053,315 34,631,631,892 0.83 939,024 2,686
60.103174306 7.629796000 30.717884000 42,886,549,156 34,891,064,487 0.81 939,440 2,688
59.588325250 7.807733000 30.253396000 43,546,402,096 34,929,622,359 0.80 940,663 2,817
58.345166618 7.561648000 29.785074000 41,567,878,675 34,967,287,676 0.84 941,177 2,701
