14.268527382 9.833862000 4.948238000 42,600,326,138 42,709,238,113 1.00 38,015 47,284
16.972355127 12.833950000 5.509079000 55,514,613,015 51,725,134,108 0.93 15,027 33,178
14.552089024 10.744744000 4.953602000 46,266,324,080 43,813,543,181 0.95 29,214 34,439
16.068368318 11.952121000 5.190572000 51,258,057,273 47,058,798,059 0.92 27,068 32,011
17.325135969 13.516413000 5.293874000 57,095,880,293 52,663,217,351 0.92 14,741 32,678
19.131607206 13.157773000 5.941709000 57,371,341,030 44,836,569,913 0.78 23,690 25,188
16.741532954 12.285624000 5.612846000 53,323,562,305 43,344,003,524 0.81 28,177 33,146
18.006393660 13.098858000 6.130802000 57,946,507,125 47,441,627,250 0.82 27,425 32,491
19.439366338 14.650380000 6.306766000 64,643,395,241 52,352,458,623 0.81 14,747 33,156
16.351336580 11.074838000 5.159611000 48,238,643,517 45,070,323,194 0.93 23,946 25,189
